"Team Number","Match Number","Leave","Auto Algae Scored","Auto L1 Coral","Auto L2L3 Coral","Auto L4 Coral","Algae Scored","L1 Coral","L2L3 Coral","L4 Coral","Climb Status","Algae Scoring","Did this team remove algae?","Did any issues seem to occur during this match?",""
9442,14,"Y","","","",2,"",2,3,0,"No Climb","No algae scored","N","",""
948,13,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
2910,28,"Y","","",0,2,"",5,12,3,"No Climb","No algae scored","Y","",""
8032,28,"N","","","","","","","","","No Climb","No algae scored","Y","Something broke",""
2910,28,"Y","","","",2,"",5,12,3,"No Climb","No algae scored","Y","",""
2910,27,"Y","","","",1,"",4,7,3,"No Climb","No algae scored","N","",""
4180,28,"N","","",0,"","",1,"",3,"No Climb","No algae scored","N","",""
2928,28,"Y","","","","","","",1,"","No Climb","No algae scored","N","",""
3219,27,"Y","","","","","",0,1,"","No Climb","No algae scored","N","",""
1983,27,"Y","","","","","",3,3,"","No Climb","No algae scored","Y","",""
6350,27,"Y","","",0,"","","",1,"","No Climb","No algae scored","N","",""
1983,27,"Y","","","","","","",4,"","No Climb","No algae scored","Y","",""
1983,27,"Y","","","","","","",3,"","No Climb","No algae scored","Y","",""
949,30,"Y","","","","","","",1,"","No Climb","No algae scored","N","Something broke , Other (explain in comments)",""
3681,27,"Y","","","","","","",3,4,"Deep Climb","No algae scored","N","",""
3070,30,"Y","","","","","",0,4,"","No Climb","No algae scored","Y","Emergency Stop",""
488,31,"Y","","","",1,"",1,2,4,"No Climb","No algae scored","N","",""
3588,34,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3070,26,"Y","","","","","","","",5,"No Climb","No algae scored","N","",""
2412,25,"Y","","","",2,"","","",2,"No Climb","No algae scored","Y","",""
4918,24,"Y","","","","","","",6,"","No Climb","No algae scored","N","",""
4915,18,"Y","","","","","","","",7,"No Climb","No algae scored","Y","",""
10455,34,"Y","","","","","",1,"","","No Climb","No algae scored","N","",""
4980,33,"Y","","","","","","","",2,"Deep Climb","No algae scored","N","Auto Stop , Other (explain in comments)",""
4915,33,"Y","","","","","","",4,5,"No Climb","No algae scored","Y","",""
4915,33,"Y","","","","","","",5,4,"No Climb","No algae scored","Y","",""
6350,33,"Y","","","","","",2,"","","No Climb","No algae scored","N","",""
2927,33,"Y","",0,"","","",3,"","","No Climb","No algae scored","N","",""
4980,33,"N","","","","","",1,"",2,"Deep Climb","No algae scored","Y","",""
6350,33,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2910,32,"N","","","",1,"","",4,7,"Deep Climb","No algae scored","Y","Auto missed",""
2906,32,"N","","","","","","","","","No Climb","No algae scored","N","Something broke",""
9442,32,"Y","","","",2,"","",4,7,"No Climb","No algae scored","Y","",""
9442,32,"Y","","","",2,"","",5,6,"No Climb","No algae scored","Y","",""
5827,32,"Y","","","",1,"","",2,2,"No Climb","No algae scored","Y","Other (explain in comments)",""
2910,32,"N","","","",1,"","",6,7,"Deep Climb","No algae scored","Y","",""
2910,32,"Y","","","",1,"","",7,7,"Deep Climb","No algae scored","Y","",""
488,31,"Y","","","",1,0,1,2,4,"No Climb","No algae scored","N","",""
948,31,"Y",1,"","","","",7,1,"","No Climb","No algae scored","Y","",""
948,31,"Y","","","",1,"","",1,7,"Deep Climb","No algae scored","N","",""
4918,31,"Y",0,1,"","","",1,3,"","No Climb","No algae scored","N","",""
9036,31,"N","","","","","",3,"","","No Climb","No algae scored","N","",""
4918,31,"Y","","",1,"","","",5,"","No Climb","No algae scored","N","",""
2910,61,"Y","","","",1,"",4,7,5,"Deep Climb","No algae scored","Y","",""
3070,26,"Y","","","","","",2,"",4,"No Climb","No algae scored","N","",""
492,26,"Y","","","","","","","",7,"No Climb","No algae scored","N","",""
3268,19,"N","","","","","","","","","No Climb","No algae scored","N","",""
1983,18,"N","","","","","",1,"","","No Climb","No algae scored","Y","",""
9442,17,"Y","","","",2,"","",1,10,"No Climb","No algae scored","N","",""
2927,15,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2976,14,"Y","","","","",1,1,1,"","","Only net","N","",""
8248,13,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3681,20,"Y","","","",0,"","","",3,"No Climb","No algae scored","Y","Stuck game piece",""
1294,20,"Y","","","","","","","","","No Climb","No algae scored","N","",""
5827,20,"N","","","",2,"",1,3,2,"Deep Climb","No algae scored","Y","",""
949,19,"N","","","","","",1,"","","No Climb","No algae scored","N","",""
6350,20,"Y","","","",0,"","","","","No Climb","No algae scored","N","Stuck game piece",""
1899,19,"Y","","","",0,"",2,"",4,"No Climb","No algae scored","N","",""
2906,18,"Y","","","","","",6,"","","No Climb","No algae scored","N","",""
488,19,"Y","","","",1,0,"","","","No Climb","No algae scored","Y","Something broke",""
2906,19,"Y","","","","","",7,"","","No Climb","No algae scored","N","",""
2928,18,"Y","","","","","","",1,"","No Climb","No algae scored","N","Other (explain in comments)",""
4915,18,"Y","","","","","","","",8,"No Climb","No algae scored","Y","",""
4915,18,"Y","","","",0,"","","",7,"No Climb","No algae scored","Y","",""
8248,18,"N","","","","","","","","","No Climb","No algae scored","N","",""
4915,18,"Y","","","","","","","",8,"No Climb","No algae scored","Y","",""
492,18,"Y","","","","","","","",5,"No Climb","No algae scored","N","",""
4180,17,"N","","","","","",1,1,"","No Climb","No algae scored","Y","",""
2927,18,"Y","","","","","",3,"","","No Climb","No algae scored","N","",""
8032,16,"Y","","","","","","","","","Deep Climb","No algae scored","N","",""
948,17,"Y","","","","","","",5,3,"Deep Climb","No algae scored","Y","",""
2910,20,"Y","","","",1,"",4,8,3,"Deep Climb","No algae scored","Y","",""
1899,26,"Y","","","","","","",3,2,"No Climb","No algae scored","Y","",""
4918,20,"Y","","",1,"","","",4,"","No Climb","No algae scored","N","",""
3219,21,"Y","","","","","","","","","Deep Climb","No algae scored","N","",""
1294,26,"Y","","","","","","",1,"","No Climb","No algae scored","N","Something broke",""
9023,26,"Y","","","","","","",2,1,"No Climb","No algae scored","Y","Auto missed",""
3588,25,"N","","","","","","","","","No Climb","No algae scored","N","",""
949,25,"N","","","","","",1,2,"","No Climb","No algae scored","N","Stuck game piece",""
2910,25,"Y","","","",2,"",5,10,2,"Deep Climb","No algae scored","Y","",""
949,25,"N","","","","","",1,3,"","No Climb","No algae scored","N","",""
6350,24,"Y","","","","","","","","","No Climb","No algae scored","N","",""
948,24,"Y","","","","","","","",9,"Deep Climb","No algae scored","Y","",""
8032,24,"Y","","","","","",2,"","","No Climb","No algae scored","Y","",""
6350,24,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3268,23,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
9023,23,"Y","",1,"",0,"","",4,1,"No Climb","No algae scored","N","",""
4915,22,"Y","","","",1,"","","",9,"No Climb","No algae scored","Y","",""
3681,23,"Y","",0,0,0,"",1,4,1,"No Climb","No algae scored","Y","",""
2928,23,"Y","","","","","","","","","No Climb","No algae scored","N","",""
4915,23,"Y","","","",1,"",1,1,9,"No Climb","No algae scored","Y","",""
3268,23,"N","","","","","","","","","No Climb","No algae scored","N","",""
2976,22,"Y","","","","","",1,"",4,"No Climb","No algae scored","N","",""
3049,22,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
4180,22,"N","","","","","","",1,"","No Climb","No algae scored","N","",""
4980,21,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
8248,22,"N","","","","","","","","","No Climb","No algae scored","N","",""
3049,22,"N","","","","","","","","","No Climb","No algae scored","N","",""
3070,21,"Y","","","","","","","",9,"No Climb","No algae scored","N","",""
10455,21,"Y","",0,0,0,"","","","","No Climb","No algae scored","N","Stuck game piece",""
3588,21,"N","","","","","","","","","No Climb","No algae scored","N","",""
9023,62,"Y","","","",1,"","","",4,"No Climb","No algae scored","Y","",""
